DRUG.NAME	SYNONYMS	TARGET	TARGET.PATHWAY	Drug
Erlotinib 		EGFR	EGFR	Erlotinib
Rapamycin	"AY-22989,Sirolimus,WY-090217"	mTOR	TOR	Rapamycin
Sunitinib	Sutent	"PDGFRA/B, KDR, KIT, FLT3"	RTK	Sunitinib
PHA-665752		MET	RTK	PHA.665752
MG-132	zLLL	Proteasome	other	MG.132
Paclitaxel	BMS-181339-01	Beta subunit of Tubulin	cytoskeleton	Paclitaxel
Cyclopamine	11-deoxojervine	SMO	other	Cyclopamine
AZ628		BRAF	ERK MAPK	AZ628
Sorafenib	"BAY-439006, Nexavar"	"PDGFRA, PDGFRB, KDR, KIT, FLT3"	RTK	Sorafenib
VX-680	"MK-045,MK-0457,VX-68"	"AURKA, AURKB, AURKC, FLT3, ABL1, JAK2"	mitosis	VX.680
Imatinib	"Gleevec,STI-571"	"ABL, KIT, PDGFR"	ABL	Imatinib
TAE684	NVP-TAE684	ALK	RTK	NVP.TAE684
PF-02341066	"Xalkori,PF2341066"	"MET, ALK"	RTK	PF.02341066
AZD-0530	"AZD-0530,KIN001-045"	"SRC, ABL1"	ABL	AZD.0530
S-Trityl-L-cysteine	NSC 83265	KIF11	mitosis	S.Trityl.L.cysteine
Z-LLNle-CHO	Z-L-Norleucine-CHO	gamma-secretase	other	Z.LLNle.CHO
Dasatinib	KIN001-005	"ABL, SRC, KIT, PDGFR"	ABL	Dasatinib
GNF-2	KIN001-013 (GNF-2 / 3-(6-(4-(trifluoromethoxy)phenylamino)pyrimidin-4-yl)benzamide)	ABL	ABL	GNF.2
CGP-60474	KIN001-019	"CDK1,CDK2,CDK5,CDK7,CDK9"	cell cycle	CGP.60474
CGP-082996	"CINK4,KIN001-021"	CDK4	cell cycle	CGP.082996
A-770041	KIN001-111	SRC	other	A.770041
WH-4-023	KIN001-112	"SRC, ABL"	ABL	WH.4.023
WZ-1-84	KIN001-123	BMX	other	WZ.1.84
BI-2536	KIN001-124	"PLK1, PLK2, PLK3"	mitosis	BI.2536
BMS-536924	KIN001-126	IGF1R	IGFR	BMS.536924
BMS-509744	KIN001-127	ITK	other	BMS.509744
CMK	KIN001-128	RSK	ERK MAPK	CMK
Pyrimethamine		DHFR	DNA replication	Pyrimethamine
JW-7-52-1		mTOR	TOR	JW.7.52.1
A-443654	KIN001-139	"AKT1, AKT2, AKT3"	PI3K	A.443654
GW843682X	KIN001-134	PLK1	mitosis	GW843682X
MS-275	MS275	HDAC	chromain  histone acetylation	MS.275
Parthenolide		NFKB1	other	Parthenolide
KIN001-135	KIN001-135	IKKE	other	KIN001.135
TGX221		PI3K beta	PI3K	TGX221
Bortezomib	"LDP-341,PS-341"	Proteasome	other	Bortezomib
XMD8-85	XMD8-85	ERK5	other	XMD8.85
Roscovitine	Seliciclib	CDK family	cell cycle	Roscovitine
Salubrinal	"3-Phenyl-N-[2,2,2-trichloro-1-[[(8-quinolinylamino)thioxomethyl]amino]ethyl]-2-propenamide"	GADD34-PP1C phosphatase	other	Salubrinal
Lapatinib	"Tykerb, Tyverb"	"EGFR, ERBB2"	EGFR	Lapatinib
GSK269962A	KIN001-155	"ROCK1,ROCK2"	cytoskeleton	GSK269962A
Doxorubicin	"Doxil,Rubex"	DNA intercalating	DNA replication	Doxorubicin
Etoposide		TOP2	DNA replication	Etoposide
Gemcitabine	"Gemzar, LY-188011"	DNA replication	DNA replication	Gemcitabine
Mitomycin-C	"Mytozytrex,NSC-26980"	DNA crosslinker	DNA replication	Mitomycin.C
Vinorelbine		Microtubules	cytoskeleton	Vinorelbine
NSC-87877		"SHP-1, SHP-2"	other	NSC.87877
Bicalutamide	ICI-176334	Androgen receptor	other	Bicalutamide
QS11	QS11	ARFGAP	other	QS11
CP466722	"[2-(6,7-dimethoxyquinazolin-4-yl)-5-(pyridin-2-yl)-2H-1,2,4-triazol-3-amine]"	ATM	Genome integrity	CP466722
Midostaurin	PKC 412	KIT	RTK	Midostaurin
CHIR-99021	CT 99021	GSK3B	WNT	CHIR.99021
AP-24534	KIN001-192	ABL	ABL	AP.24534
AZD6482	"KIN001-193, WO2009093972K"	 PI3K beta	PI3K	 AZD6482
JNK-9L 	"KIN001-204 "	"JNK, CDK9"	JNK and p38	JNK.9L
PF-562271	KIN001-205	FAK	cytoskeleton	PF.562271
HG-6-64-1	KIN001-206	"BRAFV600E, TAK, MAP4K5"	ERK MAPK	HG.6.64.1
JQ1	JQ1	"BRD2, BRD3, BRD4"	chromatin  other	JQ1
JQ12	JQ12	HDAC	chromain  histone acetylation	JQ12
DMOG	Dimethyloxalylglcine	Prolyl-4-Hydroxylase	other	DMOG
FTI-277		FNTA	other	FTI.277
OSU-03012	AR-12	PDK1	PI3K	OSU.03012
Shikonin	Shikonin	unknown	other	Shikonin
AKT-inhibitor-VIII		"AKT1, AKT2, AKT3"	PI3K	AKT.inhibitor.VIII
Embelin		XIAP	apoptosis	Embelin
FH535	FH535	unknown	other	FH535
PAC-1	PAC-1	CASP3 agonist	apoptosis	PAC.1
IPA-3	IPA-3	PAK	cytoskeleton	IPA.3
GSK-650394		SGK3	other	GSK.650394
BAY-61-3606		SYK	other	BAY.61.3606
5-Fluorouracil	5-FU	DNA antimetabolite	DNA replication	5.Fluorouracil
Thapsigargin		ATPase	other	Thapsigargin
Obatoclax-Mesylate		"BCL-2, BCL-XL, MCL-1"	apoptosis	Obatoclax.Mesylate
BMS-754807		IGF1R	IGFR	BMS.754807
Lisitinib	OSI-906	IGF1R	IGFR	Lisitinib
Bexarotene	"LG-100069,LGD-1069"	Retinioic acid X family agonist	other	Bexarotene
Bleomycin		DNA damage	DNA replication	Bleomycin
LFM-A13	DDE-28	BTK	other	LFM.A13
GW-2580	GW-2580	cFMS	RTK	GW.2580
AUY922	"VER-52296,NVP-AUY922"	HSP90	other	AUY922
Phenformin	Phenformin		metabolism	Phenformin
Bryostatin-1	Bryostatin 1	PRKC	other	Bryostatin.1
Pazopanib	GW786034	"VEGFR, PDGFRA, PDGFRB, KIT"	RTK	Pazopanib
LAQ824	"Dacinostat, NVP-LAQ824"	HDAC	chromain  histone acetylation	LAQ824
Epothilone-B	GNF-PF-193	Microtubules	cytoskeleton	Epothilone.B
GSK1904529A	GSK1904529A	IGF1R	IGFR	GSK1904529A
BMS345541	BMS345541	IKBKB	other	BMS345541
Tipifarnib		FNTA	other	Tipifarnib
BMS-708163	Avagacestat	gamma-secretase	other	BMS.708163
Ruxolitinib	INCB-18424	"JAK1, JAK2, TYK2"	other	Ruxolitinib
AS601245	AS601245	JNK	JNK and p38	AS601245
Ispinesib-Mesylate	SB-715992	KIF11	mitosis	Ispinesib.Mesylate
TL-2-105		CRAF	ERK MAPK	TL.2.105
AT-7519		CDK9	cell cycle	AT.7519
TAK-715	KIN001-201	p38a	JNK and p38	TAK.715
BX-912	KIN001-175	PDK1	PI3K	BX.912
ZSTK474	KIN001-167	PI3K	PI3K	ZSTK474
AS605240	KIN001-173	PI3K gamma	PI3K	AS605240
Genentech-Cpd-10		"AURKA, AURKB"	mitosis	Genentech.Cpd.10
GSK1070916		AURKB	mitosis	GSK1070916
KIN001-102		AKT1	PI3K	KIN001.102
LY317615	Enzastaurin	PKCbeta	other	LY317615
GSK429286A		ROCK2	cytoskeleton	GSK429286A
FMK	KIN001-242	RSK	ERK MAPK	FMK
QL-XII-47		"BTK, BMX"	other	QL.XII.47
CAL-101		PI3K delta	PI3K	CAL.101
UNC0638		"G9a, GLP"	chromatin  histone methylation	UNC0638
XL-184	Cabozantinib	"VEGFR, MET, RET, KIT, FLT13/4, TIE2,AXL"	RTK	XL.184
WZ3105		"CLK2, CNSK1E, FLT3, ULK1"	RTK	WZ3105
XMD14-99		"EPHB3, CAMK1"	RTK	XMD14.99
AC220	Quizartinib	FLT3	RTK	AC220
CP724714		ERBB2	EGFR	CP724714
JW-7-24-1		LCK	other	JW.7.24.1
NPK76-II-72-1		PLK3	mitosis	NPK76.II.72.1
STF-62247		Autophagy	other	STF.62247
NG-25		TAK	other	NG.25
TL-1-85		TAK	other	TL.1.85
VX-11e		ERK	ERK MAPK	VX.11e
FR-180204		ERK	ERK MAPK	FR.180204
Tubastatin-A		HDAC6	chromain  histone acetylation	Tubastatin.A
Zibotentan	Zibotentan	Endothelin A Receptor	other	Zibotentan
YM155	Sepantronium bromide	BIRC5	apoptosis	YM155
NSC-207895	XI-006	MDMX	p53	NSC.207895
VNLG-124	"4-(Butanoyloxymethyl)phenyl-(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-enyl)nona-2,4,6,8-tetraenoate"	"HDAC,RAR"	chromain  histone acetylation	VNLG.124
AR-42	HDAC-42	HDAC	chromain  histone acetylation	AR.42
CUDC-101		"HDAC, EGFR"	chromain  histone acetylation	CUDC.101
Belinostat	PXD101	HDAC	chromain  histone acetylation	Belinostat
I-BET-762	GSK525762A	"BRD2, BRD3, BRD4"	chromatin  other	I.BET.762
CAY10603		HDAC6	chromain  histone acetylation	CAY10603
Linifanib	ABT-869	RTK	RTK	Linifanib
BIX02189		MEK5	other	BIX02189
CH5424802		ALK	RTK	CH5424802
EKB-569	Pelitinib	EGFR	EGFR	EKB.569
GSK2126458	EX-8678	"PI3K, mTOR"	PI3K	GSK2126458
KIN001-236		TIE2	other	KIN001.236
KIN001-244		PDK1	PI3K	KIN001.244
KIN001-055	"WHI-P97, AC1L1GQE"	"JAK3, MNK1"	other	KIN001.055
KIN001-260	Bayer IKKb inhibitor	IKK	other	KIN001.260
KIN001-266		"TPL2,COT(M3K8)"	other	KIN001.266
Masitinib	AB1010	KIT	RTK	Masitinib
MP470		PDGFR	RTK	MP470
MPS-1-IN-1		MPS1	mitosis	MPS.1.IN.1
BHG712	NVP-BHG712	EPHB4	RTK	BHG712
OSI-930		"KIT, VEGFR, PDGFR"	RTK	OSI.930
OSI-027	A-1065	mTORC1/2	TOR	OSI.027
CX-5461		RNA Pol I	other	CX.5461
PHA-793887		CDK-pan	cell cycle	PHA.793887
PI-103		"PI3K alpha,DNAPK"	PI3K	PI.103
PIK-93		"PI4K,PI3K"	PI3K	PIK.93
SB52334		ALK5	RTK	SB52334
TPCA-1		IKK	other	TPCA.1
TG101348		JAK2	RTK	TG101348
Foretinib	"GSK1363089, XL-880"	MET	RTK	Foretinib
Y-39983		ROCK	cytoskeleton	Y.39983
YM201636		PYKfyve(FYV1)	other	YM201636
Tivozanib	AV-951	VEGFR	RTK	Tivozanib
GSK690693		AKT	PI3K	GSK690693
SNX-2112		HSP90	other	SNX.2112
QL-XI-92		DDR1	RTK	QL.XI.92
XMD13-2		RIPK	other	XMD13.2
QL-X-138		"MNK2, DNAPK, MTOR, BTK, JAK3"	other	QL.X.138
XMD15-27		"CAMK2B, CLK2, DYRK1A, MAST1, STK39"	other	XMD15.27
T0901317		LXR	other	T0901317
EX-527		SIRT1	other	EX.527
THZ-2-49		CDK9	cell cycle	THZ.2.49
KIN001-270		CDK9	cell cycle	KIN001.270
THZ-2-102-1		CDK7	cell cycle	THZ.2.102.1
